Feature,bin_index,Value_bin_mid,BIN_COUNT,pandas_dtype,inferred_type,skew_label,skewness
AveBedrms,0,0.7385,18658,float64,floating,strong right tail,31.317
AveBedrms,1,1.5985,1752,float64,floating,strong right tail,31.317
AveBedrms,2,2.4415,112,float64,floating,strong right tail,31.317
AveBedrms,3,3.285,41,float64,floating,strong right tail,31.317
AveBedrms,4,4.1285,21,float64,floating,strong right tail,31.317
AveBedrms,5,4.9715,20,float64,floating,strong right tail,31.317
AveBedrms,6,5.8149999999999995,12,float64,floating,strong right tail,31.317
AveBedrms,7,6.6585,5,float64,floating,strong right tail,31.317
AveBedrms,8,7.5015,2,float64,floating,strong right tail,31.317
AveBedrms,9,8.344999999999999,5,float64,floating,strong right tail,31.317
AveBedrms,10,9.1885,2,float64,floating,strong right tail,31.317
AveBedrms,11,10.0315,3,float64,floating,strong right tail,31.317
AveBedrms,12,10.875,2,float64,floating,strong right tail,31.317
AveBedrms,13,11.7185,1,float64,floating,strong right tail,31.317
AveBedrms,14,14.2485,1,float64,floating,strong right tail,31.317
AveBedrms,15,15.0915,1,float64,floating,strong right tail,31.317
AveBedrms,16,26.055,1,float64,floating,strong right tail,31.317
AveBedrms,17,33.644999999999996,1,float64,floating,strong right tail,31.317
AveOccup,0,15.604,20631,float64,floating,strong right tail,97.6396
AveOccup,1,47.291,3,float64,floating,strong right tail,97.6396
AveOccup,2,78.357,2,float64,floating,strong right tail,97.6396
AveOccup,3,233.6875,1,float64,floating,strong right tail,97.6396
AveOccup,4,513.282,1,float64,floating,strong right tail,97.6396
AveOccup,5,606.48,1,float64,floating,strong right tail,97.6396
AveOccup,6,1227.8000000000002,1,float64,floating,strong right tail,97.6396
AveRooms,0,2.539,4752,float64,floating,strong right tail,20.6979
AveRooms,1,6.136,15074,float64,floating,strong right tail,20.6979
AveRooms,2,9.6625,655,float64,floating,strong right tail,20.6979
AveRooms,3,13.189,50,float64,floating,strong right tail,20.6979
AveRooms,4,16.7155,28,float64,floating,strong right tail,20.6979
AveRooms,5,20.2425,26,float64,floating,strong right tail,20.6979
AveRooms,6,23.769,16,float64,floating,strong right tail,20.6979
AveRooms,7,27.2955,12,float64,floating,strong right tail,20.6979
