row_id,measure,value
0,MedInc,8.3252
0,HouseAge,41.0
0,AveRooms,6.984126984126984
0,AveBedrms,1.0238095238095237
0,Population,322.0
0,AveOccup,2.5555555555555554
0,Latitude,37.88
0,Longitude,-122.23
0,MedHouseVal,4.526
1,MedInc,8.3014
1,HouseAge,21.0
1,AveRooms,6.238137082601054
1,AveBedrms,0.9718804920913884
1,Population,2401.0
1,AveOccup,2.109841827768014
1,Latitude,37.86
1,Longitude,-122.22
1,MedHouseVal,3.585
2,MedInc,7.2574
2,HouseAge,52.0
2,AveRooms,8.288135593220339
2,AveBedrms,1.073446327683616
2,Population,496.0
2,AveOccup,2.8022598870056497
2,Latitude,37.85
2,Longitude,-122.24
2,MedHouseVal,3.521
3,MedInc,5.6431
3,HouseAge,52.0
3,AveRooms,5.8173515981735155
3,AveBedrms,1.0730593607305936
3,Population,558.0
3,AveOccup,2.547945205479452
3,Latitude,37.85
3,Longitude,-122.25
3,MedHouseVal,3.413
4,MedInc,3.8462
4,HouseAge,52.0
4,AveRooms,6.281853281853282
4,AveBedrms,1.0810810810810811
4,Population,565.0
4,AveOccup,2.1814671814671813
4,Latitude,37.85
4,Longitude,-122.25
4,MedHouseVal,3.422
